Specie,Nest,Searcher,Year,Station,Polluelo,Day,Mass,Tarsus,Wing
Grallaria_rufula,W14_CJS10,CJS10,2010,Wayquecha,a,10,25.3,25,30
Grallaria_rufula,W14_CJS10,CJS10,2010,Wayquecha,a,11,20.75,NA,NA
Grallaria_rufula,W14_CJS10,CJS10,2010,Wayquecha,a,12,25.25,26,35
Grallaria_rufula,W14_CJS10,CJS10,2010,Wayquecha,a,13,25.65,26,36
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,15,33.9,33.8,45
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,16,35.4,33.8,48.7
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,17,35.35,36,52.4
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,18,35.9,36.5,55
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,7,20.57,21.4,15.5
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,3,11.87,16.4,9.4
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,b,3,10.81,16,9.8
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,b,4,12.55,18.1,10.4
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,4,14.05,18.4,10.8
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,8,19.1,22.4,19.8
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,5,15.27,19.4,12.4
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,b,5,14.32,19.2,12.1
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,10,24.52,25.2,25
Grallaria_rufula,W04_SDR11,SDR11,2011,Wayquecha,a,14,32.35,31.5,40.8
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,11,26.25,25.8,26.7
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,11,28.23,25.7,30.7
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,1,6.38,11.2,7.9
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,1,7.01,10.9,8.6
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,2,8.03,12.5,8.5
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,2,10.3,12.3,8.2
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,4,16,17.6,13.1
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,4,15.17,15.8,11.4
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,5,14.66,17.1,12.3
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,5,16.27,17.1,12.6
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,6,16.04,18.2,12.6
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,6,16.82,19.2,14.2
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,7,18.01,NA,NA
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,7,19.08,20.5,16.2
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,12,25.2,26.7,29.9
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,12,28.7,27.8,34.4
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,8,21.21,21.6,16.9
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,8,21.82,21.7,19.1
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,9,23.1,23.2,21.2
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,9,21.05,22.4,19.7
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,13,29,27.1,35.9
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,13,26.88,27.9,32.7
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,14,31.5,29.5,37.3
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,14,31.83,28.5,41.6
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,15,33.44,30.1,44.9
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,15,32.66,30.2,41.8
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,16,32.8,31.5,48.1
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,b,16,28.89,32,45.1
Grallaria_rufula,W11_JRD13,JRD13,2013,Wayquecha,a,17,32.91,35.7,53.9
