Estacion,Numero_Libreta,Pagina,year,Familia,Especie,ID_del_Nido,Polluelo_Edad_dias,Mass g,Tarso mm,Wing_mm
Wayqecha,0,138,2007,Emberizidae,Atlapetes_melanolaemus,W01_07,1,6.2,12.3,NA
Wayqecha,0,138,2007,Emberizidae,Atlapetes_melanolaemus,W01_07,1,5.95,12.1,NA
Wayqecha,0,138,2007,Emberizidae,Atlapetes_melanolaemus,W01_07,2,7.9,13.6,NA
Wayqecha,0,138,2007,Emberizidae,Atlapetes_melanolaemus,W01_07,2,7.25,13.3,NA
Wayqecha,0,138,2007,Emberizidae,Atlapetes_melanolaemus,W01_07,3,8.95,16.5,NA
Wayqecha,0,138,2007,Emberizidae,Atlapetes_melanolaemus,W01_07,3,8.2,16.8,NA
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,0,3.2,10,12
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,0,3.3,10,11
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,1,5.3,11,14
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,1,5.2,11,14
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,2,8.1,14,16
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,2,7.9,14,17
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,3,10.45,16,21
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,3,10.9,15,20
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,4,12.45,10,11
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,4,13.05,16,10
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,5,14.95,17,12
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,5,15.7,18,12
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,6,17.25,22,32
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,6,17.75,21,33
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,7,18.5,26,49
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,7,18.35,26,47
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,8,20.65,26,45
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,8,20.75,28,47
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,9,21.15,28,55
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,9,21,28,57
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,10,20.5,28,61
Wayqecha,1,107,2008,Emberizidae,Atlapetes_melanolaemus,W01_CZC08,10,21.5,27,60
Wayqecha,3,66,2008,Emberizidae,Atlapetes_melanolaemus,W01_NAP08,9,15.65,18,46
Wayqecha,3,66,2008,Emberizidae,Atlapetes_melanolaemus,W01_NAP08,9,17.15,19,46
Wayqecha,3,66,2008,Emberizidae,Atlapetes_melanolaemus,W01_NAP08,10,19.1,20,52
Wayqecha,3,66,2008,Emberizidae,Atlapetes_melanolaemus,W01_NAP08,10,19.65,24,59
Wayqecha,3,66,2008,Emberizidae,Atlapetes_melanolaemus,W01_NAP08,11,19.8,24,56
Wayqecha,3,66,2008,Emberizidae,Atlapetes_melanolaemus,W01_NAP08,11,21.8,24,59
Wayqecha,3,66,2008,Emberizidae,Atlapetes_melanolaemus,W01_NAP08,12,22.4,26,66
Wayqecha,3,66,2008,Emberizidae,Atlapetes_melanolaemus,W01_NAP08,12,23.5,25,67
Wayqecha,3,66,2008,Emberizidae,Atlapetes_melanolaemus,W01_NAP08,13,21.95,27,93
Wayqecha,3,66,2008,Emberizidae,Atlapetes_melanolaemus,W01_NAP08,13,24.2,27,97
Wayqecha,2,1,2008,Emberizidae,Atlapetes_melanolaemus,W03_SMB08,2,7.3,7,7
Wayqecha,2,1,2008,Emberizidae,Atlapetes_melanolaemus,W03_SMB08,0,3.45,7,6
Wayqecha,2,1,2008,Emberizidae,Atlapetes_melanolaemus,W03_SMB08,1,4.7,7,7
Road_Wayqecha,1,96,2010,Emberizidae,Atlapetes_melanolaemus,WR26_10,3,11.95,18,15
Road_Wayqecha,1,96,2010,Emberizidae,Atlapetes_melanolaemus,WR26_10,3,14,18,20
Road_Wayqecha,1,96,2010,Emberizidae,Atlapetes_melanolaemus,WR26_10,10,21.85,28.2,51
Road_Wayqecha,1,96,2010,Emberizidae,Atlapetes_melanolaemus,WR26_10,10,20.65,30.5,48
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,2,6.45,10,8
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,2,6.8,11,6
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,4,13.1,21,19
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,4,12.9,20,18
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,5,15.6,22,22
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,5,15.55,24,24
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,7,19.5,25.9,33
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,7,20.05,27,34
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,8,19.88,27.6,36
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,8,21.19,18.6,39.5
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,9,21.17,29.6,43
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,9,19.9,28.2,40
San_Pedro,7,77,2010,Emberizidae,Atlapetes_melanolaemus,SP01_RVA10,10,21.95,30,46
