Specie,Nest,Searcher,Year,Station,Polluelo,Day,Mass,Tarsus,Wing
Conopophaga castaneiceps,,ac1,2014,Tatama,A,2,3,8,7
Conopophaga castaneiceps,,ac1,2014,Tatama,A,4,4,11,11
Conopophaga castaneiceps,,ac3,2014,Tatama,B,4,6,10,9
Conopophaga castaneiceps,,ac1,2014,Tatama,A,6,6,13,14
Conopophaga castaneiceps,,ac3,2014,Tatama,B,6,9,14,14
Conopophaga castaneiceps,,ac1,2014,Tatama,A,7,10,15,17
Conopophaga castaneiceps,,ac3,2014,Tatama,B,7,10,15,16
Conopophaga castaneiceps,,ac1,2014,Tatama,A,8,13,19,23
Conopophaga castaneiceps,,ac3,2014,Tatama,B,8,14,18,24
Conopophaga castaneiceps,,ac1,2014,Tatama,A,9,16,21,29
Conopophaga castaneiceps,,ac3,2014,Tatama,B,9,16,22,29
Conopophaga castaneiceps,,ac1,2014,Tatama,A,12,18,26,40
Conopophaga castaneiceps,,ac3,2014,Tatama,B,12,17,26,39
Conopophaga castaneiceps,,ac4,2014,Tatama,C,2,4,9,7
Conopophaga castaneiceps,,ac4,2014,Tatama,D,2,5,9,6
