Fecha_de_medición,Año,Familia,Especie,Estacion,Day,Polluelo_Masa_g,Polluelo_Tarso_mm,Polluelo_Ala_mm
1-Dec-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,23,164.5,42,65
10-Dec-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,32,210.1,45,113
10-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,2,31.35,17,15
11-Dec-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,33,199.5,45,115
11-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,3,37.05,19,17
12-Dec-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,34,201.5,45,117
12-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,4,37.35,21,17
13-Dec-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,35,198.5,45,123
15-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,7,61.75,23,21
16-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,8,62.8,26,22
17-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,9,75.25,26,22
19-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,11,79.5,28,27
2-Dec-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,24,160.3,43,70
22-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,14,121.5,29,35
23-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,15,117.5,35,38
24-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,16,129.1,37,38
3-Dec-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,25,162.4,42,80.9
30-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,22,161,41,65
5-Dec-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,27,185.5,44,90
9-Nov-09,2009,Cotingidae,Rupicola_peruvianus,San_Pedro,1,26.95,16,15
12-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,21,81.25,NA,56.2
2-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,11,88.45,27.4,24
21-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,0,25.5,13.4,12.7
22-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,1,30.1,16,14.2
25-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,4,36.75,17.5,15.6
27-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,6,43.1,21.6,18.5
30-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,9,86.1,23,21.5
6-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,15,76.8,34.8,36.4
9-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,18,NA,36.4,41.8
12-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,21,119.4,32.6,57.6
12-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,21,122.75,32.2,58.1
2-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,11,87.8,29.1,27.7
2-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,11,98.95,29.1,27.7
21-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,0,24.65,14.7,14.9
21-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,0,27.4,16.1,15
22-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,1,30,16,14.9
22-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,1,36.7,16.2,15
23-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,2,34.75,16.1,15.3
23-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,2,34.25,17.7,17
25-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,4,43.3,20.9,17.5
25-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,4,43,21.5,18.3
27-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,6,44.6,22.8,20.6
27-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,6,46.5,24,20
30-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,9,88,26.6,24.2
30-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,9,80.35,25.6,23.5
4-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,13,93.8,29.1,30.2
4-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,13,87.2,29.5,32
6-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,15,87.3,33.2,37.9
6-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,15,93.7,32.3,39.4
9-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,18,NA,35.9,44.6
9-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,18,NA,35.9,44.2
11-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,20,NA,36.5,51.7
12-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,21,NA,37,54.2
14-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,23,NA,38.1,63.2
16-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,25,NA,40.1,46.8
18-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,27,NA,38.8,83.8
19-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,28,NA,42,87.7
20-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,29,NA,42.1,94.7
22-Oct-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,0,17.2,12.3,11.5
22-Oct-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,0,25.25,14,14.3
23-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,32,NA,44.8,108.4
23-Oct-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,1,18.85,12.3,11.5
23-Oct-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,1,33.8,17.1,14.3
24-Oct-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,2,19,12.4,11.2
24-Oct-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,2,38.9,18.2,15.1
26-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,35,NA,44.8,116.5
5-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,13,89.7,30.6,31.1
7-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,15,93.45,30.6,36
8-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,16,106.4,32.4,37.5
1-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,19,NA,25.7,33.7
1-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,20,NA,33.6,76
10-Dec-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,29,NA,26.7,96.2
21-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,9,54.45,18.2,20.2
21-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,10,80.2,22.9,29.8
22-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,10,NA,19.9,20.5
22-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,11,NA,25.7,32.4
27-Nov-10,2010,Cotingidae,Rupicola_peruvianus,San_Pedro,15,NA,29,28
