Familia,Especie,ID_del_Nido,Estacion,Polluelo_Edad_dias,Polluelo_Masa_g,Polluelo_Tarso_mm,Polluelo_Ala_mm,Fecha_de_encuentro
Thraupidae,Tangara_schrankii,T1_GVC08,Tono,1,3.5,7,6,15-Oct-08
Thraupidae,Tangara_schrankii,T1_GVC08,Tono,2,4.85,8,7.2,15-Oct-08
Thraupidae,Tangara_schrankii,T1_GVC08,Tono,3,4.5,9.7,7.5,15-Oct-08
Thraupidae,Tangara_schrankii,T1_GVC08,Tono,4,6.3,10.5,10.4,15-Oct-08
Thraupidae,Tangara_schrankii,T1_GVC08,Tono,6,8.35,13.9,14.8,15-Oct-08
Thraupidae,Tangara_schrankii,T1_GVC08,Tono,7,11.1,14.7,18.5,15-Oct-08
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,4,8.5,12,14,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,5,10.3,15,19,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,6,11.6,16,22,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,7,13.8,18,26,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,8,14.4,19,32,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,9,14.2,20,35,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,10,14.35,20,40,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,11,15,20,41,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,12,13.45,20,43,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,13,14.5,20,47,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,0,2.85,7,7,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,1,4,8,7,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,2,5.2,10,9,29-Oct-09
Thraupidae,Tangara_schrankii,T24_MAL09,Tono,3,7.05,11,10,29-Oct-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,0,3,7,6,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,1,5.1,9,8,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,2,4.65,9,8,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,3,7.05,11,11,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,4,9.55,12,15,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,5,9.5,16,18,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,6,11.95,16,23,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,7,12.8,18,25,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,8,13.65,18,29,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,9,13.45,19,30,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,10,13.8,19,33,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,11,13.45,19,37,11-Nov-09
Thraupidae,Tangara_schrankii,T30_MALO9,Tono,12,13.7,20,39,11-Nov-09
Thraupidae,Tangara_schrankii,T38_SCP09,Tono,1,5.1,11,10,24-Nov-09
Thraupidae,Tangara_schrankii,T38_SCP09,Tono,1,3.8,10,9,24-Nov-09
Thraupidae,Tangara_schrankii,T38_SCP09,Tono,2,7.05,12,12,24-Nov-09
Thraupidae,Tangara_schrankii,T38_SCP09,Tono,2,5.6,11,10,24-Nov-09
Thraupidae,Tangara_schrankii,T38_SCP09,Tono,3,6.4,12,12,24-Nov-09
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,12,13.85,18.9,37.9,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,12,17.65,17.5,35.3,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,13,12.2,19.8,39.7,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,1,4.7,8,6,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,1,3.7,7.2,5.1,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,2,6.15,8.7,6.3,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,2,5.2,7.8,5.7,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,3,5.45,9.9,7.7,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,3,7.2,10.1,8.8,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,4,6.7,10.2,10,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,4,8.35,12.1,12.3,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,5,9.7,12.3,12.9,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,5,10.58,12.9,15.4,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,6,10.38,13.2,16.4,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,6,11.63,14.3,18.4,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,7,11.37,15.3,20.4,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,7,13.15,16.5,21.9,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,8,11.9,15.3,23,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,8,14.1,17.2,25.9,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,9,15.1,18,30.5,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,9,13.2,17,28.5,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,14,15.05,19.9,42.3,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,10,13,19,32.8,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,10,14.9,19.4,34.5,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,11,13.85,19.8,37.2,5-Oct-10
Thraupidae,Tangara_schrankii,P3_CAB10,Pantiacolla,11,13.35,19.2,35.7,5-Oct-10
Thraupidae,Tangara_schrankii,P31_MAL10,Pantiacolla,9,15.33,18.2,31.7,17-Nov-10
Thraupidae,Tangara_schrankii,P31_MAL10,Pantiacolla,10,15.75,19.8,36,17-Nov-10
Thraupidae,Tangara_schrankii,P31_MAL10,Pantiacolla,13,16.59,20.5,44,17-Nov-10
Thraupidae,Tangara_schrankii,P31_MAL10,Pantiacolla,5,11.4,13,16.8,17-Nov-10
Thraupidae,Tangara_schrankii,P31_MAL10,Pantiacolla,5,8.24,11.4,13.8,17-Nov-10
Thraupidae,Tangara_schrankii,P31_MAL10,Pantiacolla,8,15.5,17.9,28.3,17-Nov-10
Thraupidae,Tangara_schrankii,P33_JAEC10,Pantiacolla,0,4.39,7.8,5.5,4-Nov-10
Thraupidae,Tangara_schrankii,P33_JAEC10,Pantiacolla,0,3.65,7.1,5.7,4-Nov-10
Thraupidae,Tangara_schrankii,P33_JAEC10,Pantiacolla,1,8.9,4.4,5.9,4-Nov-10
Thraupidae,Tangara_schrankii,P33_JAEC10,Pantiacolla,1,9.6,5,6.8,4-Nov-10
Thraupidae,Tangara_schrankii,P33_JAEC10,Pantiacolla,2,4.94,9.2,7.2,4-Nov-10
Thraupidae,Tangara_schrankii,P33_JAEC10,Pantiacolla,2,4.3,8.9,6.2,4-Nov-10
Thraupidae,Tangara_schrankii,P35_SCP10,Pantiacolla,4,8.07,12.3,12.4,11-Nov-10
